backend,n_atoms,cutoff,threads,build_s_median,build_s_min,peak_mb,system,first_call_s,tracemalloc_mb,n_repeats,status
alchemi-gpu,32000,7.0,1,0.48093030601739883,0.4759510480798781,2245.90625,cubic,4.6376264749560505,212.82145977020264,5,ok
vesin-gpu,32000,7.0,1,0.19437690894119442,0.19363734498620033,2245.90625,cubic,0.35259948391467333,310.79605865478516,5,ok
ase,32000,8.0,1,27.833097686991096,27.75464676390402,8643.14453125,cubic,27.768596993060783,8524.678421974182,5,ok
matscipy,32000,8.0,1,1.7441818960942328,1.7262247679755092,2245.90625,cubic,1.696660754038021,406.3729305267334,5,ok
matscipy-neighbours,32000,8.0,1,0.8392077111639082,0.8358541980851442,2245.90625,cubic,0.8350590530317277,317.5058345794678,5,ok
vesin,32000,8.0,1,1.4879232179373503,1.48595136590302,2245.90625,cubic,1.4848070931620896,562.2632865905762,5,ok
matscipy-neighbours-gpu,32000,8.0,1,0.21049391897395253,0.20831480505876243,2245.90625,cubic,0.2121298760175705,317.38699436187744,5,ok
matscipy-neighbours-device,32000,8.0,1,0.21027128701098263,0.20942832506261766,2245.90625,cubic,0.31047978694550693,317.38731384277344,5,ok
alchemi-gpu,32000,8.0,1,0.6726425578817725,0.668538972036913,2245.90625,cubic,4.911790526006371,317.55816650390625,5,ok
vesin-gpu,32000,8.0,1,0.2951719630509615,0.2943126631435007,2245.90625,cubic,0.45482897805050015,463.8723678588867,5,ok
